mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
6	6	24	24	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	48					
6	6	49/2	49/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	49					
6	6	25	25	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	50					
6	6	51/2	51/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	51					
6	6	26	26	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	52					
6	6	53/2	53/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	53					
7	7	27	27	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	54					
7	7	55/2	55/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	55					
7	7	28	28	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	56					
7	7	57/2	57/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	57					
7	7	29	29	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	58					
7	7	59/2	59/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	59					
7	7	30	30	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	60					
7	7	61/2	61/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	61					
7	7	31	31	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	62					
8	8		63/2	0.5	1	0	0	Chord	9/8	1	1	1/8	1/8	1	63					
8	8		32	0.5	1	1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	64					
8	8		65/2	0.5	1	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	65					
8	8		33	0.5	1	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	66					
8	8		67/2	0.5	1	1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	67					
8	8		34	0.5	1	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	68					
8	8		69/2	0.5	1	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	69					
8	8		35	0.5	1	7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	70					
8	8		71/2	0.5	1	1	1	Chord	9/8	1	1	1/8	1/8	1	71					
9	8	63/2	36	0.5	2	0	0	Chord	9/8	1	1	1/8	1/8	1	72					
9	8	32	73/2	0.5	2	1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	73					
9	8	65/2	37	0.5	2	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	74					
9	8	33	75/2	3.0	2	3/8	3/8	Chord	9/8	1	1	3/4	1/2	3/2	75					
10	9	36	81/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	76					
10	9	73/2	41	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	77					
10	9	37	83/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	78					
10	9	75/2	42	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	79					
10	9	38	85/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	80					
10	9	77/2	43	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	81					
10	9	39	87/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	82					
10	9	79/2	44	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	83					
10	9	40	89/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	84					
11	10	81/2	45	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	85					
11	10	41	91/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	86					
11	10	83/2	46	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	87					
11	10	42	93/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	88					
11	10	85/2	47	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	89					
11	10	43	95/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	90					
11	10	87/2	48	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	91					
11	10	44	97/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	92					
11	10	89/2	49	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	93					
12	11	45	99/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	94					
12	11	91/2	50	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	95					
12	11	46	101/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	96					
12	11	93/2	51	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	97					
12	11	47	103/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	98					
12	11	95/2	52	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	99					
12	11	48	105/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	100					
12	11	97/2	53	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	101					
12	11	49	107/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	102					
13	12	99/2	54	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	103					
13	12	50	109/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	104					
13	12	101/2	55	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	105					
13	12	51	111/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	106					
13	12	103/2	56	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	107					
13	12	52	113/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	108					
13	12	105/2	57	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	109					
13	12	53	115/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	110					
13	12	107/2	58	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	111					
14	13	54	117/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	112					
14	13	109/2	59	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	113					
14	13	55	119/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	114					
14	13	111/2	60	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	115					
14	13	56	121/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	116					
14	13	113/2	61	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	117					
14	13	57	123/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	118					
14	13	115/2	62	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	119					
14	13	58	125/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	120					
15	14	117/2	63	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	121					
15	14	59	127/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	122					
15	14	119/2	64	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	123					
15	14	60	129/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	124					
15	14	121/2	65	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	125					
15	14	61	131/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	126					
15	14	123/2	66	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	127					
15	14	62	133/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	128					
15	14	125/2	67	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	129					
16	15	63	135/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	130					
16	15	127/2	68	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	131					
16	15	64	137/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	132					
16	15	129/2	69	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	133					
16	15	65	139/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	134					
16	15	131/2	70	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	135					
16	15	66	141/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	136					
16	15	133/2	71	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	137					
16	15	67	143/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	138					
17	16	135/2	72	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	139					
17	16	68	145/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	140					
17	16	137/2	73	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	141					
17	16	69	147/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	142					
17	16	139/2	74	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	143					
17	16	70	149/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	144					
17	16	141/2	75	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	145					
17	16	71	151/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	146					
17	16	143/2	76	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	147					
18	17	72	153/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	148					
18	17	145/2	77	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	149					
18	17	73	155/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	150					
18	17	147/2	78	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	151					
18	17	74	157/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	152					
18	17	149/2	79	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	153					
18	17	75	159/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	154					
18	17	151/2	80	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	155					
18	17	76	161/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	156					
19	18	153/2	81	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	157					
19	18	77	163/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	158					
19	18	155/2	82	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	159					
19	18	78	165/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	160					
19	18	157/2	83	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	161					
19	18	79	167/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	162					
19	18	159/2	84	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	163					
19	18	80	169/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	164					
19	18	161/2	85	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	165					
20	19	81	171/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	166					
20	19	163/2	86	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	167					
20	19	82	173/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	168					
20	19	165/2	87	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	169					
20	19	83	175/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	170					
20	19	167/2	88	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	171					
20	19	84	177/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	172					
20	19	169/2	89	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	173					
20	19	85	179/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	174					
21	20	171/2	90	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	175					
21	20	86	181/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	176					
21	20	173/2	91	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	177					
21	20	87	183/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	178					
21	20	175/2	92	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	179					
21	20	88	185/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	180					
21	20	177/2	93	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	181					
21	20	89	187/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	182					
21	20	179/2	94	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	183					
22	21	90	189/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	184					
22	21	181/2	95	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	185					
22	21	91	191/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	186					
22	21	183/2	96	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	187					
22	21	92	193/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	188					
22	21	185/2	97	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	189					
22	21	93	195/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	190					
22	21	187/2	98	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	191					
22	21	94	197/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	192					
23	22	189/2	99	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	193					
23	22	95	199/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	194					
23	22	191/2	100	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	195					
23	22	96	201/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	196					
23	22	193/2	101	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	197					
23	22	97	203/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	198					
23	22	195/2	102	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	199					
23	22	98	205/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	200					
23	22	197/2	103	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	201					
24	23	99	207/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	202					
24	23	199/2	104	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	203					
24	23	100	209/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	204					
24	23	201/2	105	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	205					
24	23	101	211/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	206					
24	23	203/2	106	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	207					
24	23	102	213/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	208					
24	23	205/2	107	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	209					
24	23	103	215/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	210					
25	24	207/2	108	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	211					
25	24	104	217/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	212					
25	24	209/2	109	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	213					
25	24	105	219/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	214					
25	24	211/2	110	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	215					
25	24	106	221/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	216					
25	24	213/2	111	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	217					
25	24	107	223/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	218					
25	24	215/2	112	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	219					
26	25	108	225/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	220					
26	25	217/2	113	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	221					
26	25	109	227/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	222					
26	25	219/2	114	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	223					
26	25	110	229/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	224					
26	25	221/2	115	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	225					
26	25	111	231/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	226					
26	25	223/2	116	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	227					
26	25	112	233/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	228					
27	26	225/2	117	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	229					
27	26	113	235/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	230					
27	26	227/2	118	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	231					
27	26	114	237/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	232					
27	26	229/2	119	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	233					
27	26	115	239/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	234					
27	26	231/2	120	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	235					
27	26	116	241/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	236					
27	26	233/2	121	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	237					
28	27	117	243/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	238					
28	27	235/2	122	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	239					
28	27	118	245/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	240					
28	27	237/2	123	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	241					
28	27	119	247/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	242					
28	27	239/2	124	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	243					
28	27	120	249/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	244					
28	27	241/2	125	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	245					
28	27	121	251/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	246					
29	28	243/2	126	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	247					
29	28	122	253/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	248					
29	28	245/2	127	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	249					
29	28	123	255/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	250					
29	28	247/2	128	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	251					
29	28	124	257/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	252					
29	28	249/2	129	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	253					
29	28	125	259/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	254					
29	28	251/2	130	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	255					
30	29	126	261/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	256					
30	29	253/2	131	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	257					
30	29	127	263/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	258					
30	29	255/2	132	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	259					
30	29	128	265/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	260					
30	29	257/2	133	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	261					
30	29	129	267/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	262					
30	29	259/2	134	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	263					
30	29	130	269/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	264					
31	30	261/2	135	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	265					
31	30	131	271/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	266					
31	30	263/2	136	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	267					
31	30	132	273/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	268					
31	30	265/2	137	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	269					
31	30	133	275/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	270					
31	30	267/2	138	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	271					
31	30	134	277/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	272					
31	30	269/2	139	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	273					
32	31	135	279/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	274					
32	31	271/2	140	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	275					
32	31	136	281/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	276					
32	31	273/2	141	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	277					
32	31	137	283/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	278					
32	31	275/2	142	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	279					
32	31	138	285/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	280					
32	31	277/2	143	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	281					
32	31	139	287/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	282					
33	32		144	0.5	1	0	0	Chord	9/8	1	1	1/8	1/8	1	283					
33	32		289/2	0.5	1	1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	284					
33	32		145	0.5	1	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	285					
33	32		291/2	0.5	1	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	286					
33	32		146	0.5	1	1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	287					
33	32		293/2	0.5	1	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	288					
33	32		147	0.5	1	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	289					
33	32		295/2	0.5	1	7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	290					
33	32		148	0.5	1	1	1	Chord	9/8	1	1	1/8	1/8	1	291					
34	32	279/2	297/2	0.5	2	0	0	Chord	9/8	1	1	1/8	1/8	1	292					
34	32	140	149	0.5	2	1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	293					
34	32	281/2	299/2	0.5	2	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	294					
34	32	141	150	0.5	2	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	295					
34	32	283/2	301/2	0.5	2	1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	296					
