mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	3	1/8	1/8	1	65								
11	11	20	20	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	66								
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	67								
11	11	20	20	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	68								
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	69								
11	11	20	20	0.5	0	0	Chord	2/4	1	3	1/8	1/8	1	70								
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	1	3	1/16	1/16	1	71								
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	3	1/16	1/16	1	72								
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	3	1/8	1/8	1	73								
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	3	1/8	1/8	1	74								
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	75								
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	76								
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	77								
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	78								
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	79								
12	12	22	22	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	80								
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	81								
12	12	22	22	1.0	0	0	Chord	2/4	1	3	1/4	1/4	1	82								
13	13	24	24	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	83								
13	13	97/4	97/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	84								
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	85								
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	86								
13	13	25	25	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	87								
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	88								
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	89								
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	90								
13	13	24	24	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	91								
13	13	24	24	0.25	0	0	Chord	2/4	1	3	1/16	1/16	1	92								
14	14	26	26	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	93								
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	94								
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	95								
14	14	27	27	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	96								
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	97								
14	14	26	26	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	98								
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	99								
15	15	28	28	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	100								
15	15	113/4	113/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	101								0
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	102								0
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	103								0
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	104								
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	105								
15	15	28	28	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	106								
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	107								
16	16	30	30	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	108								
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	109								
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	110								
16	16	31	31	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	111								
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	112								
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	113								
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	114								
16	16	30	30	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	115								
17	17	32	32	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	116								
17	17	129/4	129/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	117								
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	118								
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	119								
17	17	33	33	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	120								
17	17	135/4	135/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32	1/32	1	121								
17	17	271/8	271/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	122								
17	17	32	32	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	123								
17	17	33	33	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	124								
17	17	32	32	0.25	0	0	Chord	2/4	1	3	1/16	1/16	1	125								
18	18	34	34	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	126								
18	18	35	35	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	127								
18	18	34	34	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	128								
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	129								
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	130								
18	18	35	35	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	131								
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	132								
19	19	36	36	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	133								
19	19	37	37	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	134								
19	19	36	36	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	135								
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	136								
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	137								
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	138								
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	139								
20	20	38	38	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	140								
20	20	39	39	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	141								
20	20	38	38	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	142								
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	143								
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	144								
20	20	39	39	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	145								
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	146								
21	21	40	40	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	147								
21	21	41	41	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	148								
21	21	40	40	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	149								
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	150								
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	151								
21	21	41	41	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	152								
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	153								
22	22	42	42	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	154								
22	22	43	43	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	155								
22	22	42	42	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	156								
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	157								
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	158								
22	22	43	43	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	159								
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	160								
23	23	44	44	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	161								
23	23	45	45	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	162								
23	23	44	44	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	163								
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	164								
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	165								
23	23	45	45	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	166								
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	167								
24	24	46	46	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	168								
24	24	93/2	93/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	169								
24	24	187/4	187/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	170								
24	24	47	47	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	171								
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	172								
24	24	46	46	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	173								
24	24	47	47	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	174								
25	25	48	48	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	175								
25	25	97/2	97/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	176								
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	177								
25	25	49	49	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	178								
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	179								
25	25	48	48	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	180								
25	25	49	49	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	181								
26	26	50	50	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	182								
26	26	101/2	101/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	183								
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	184								
26	26	51	51	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	185								
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	186								
26	26	50	50	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	187								
26	26	51	51	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	188								
27	27	52	52	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	189								
27	27	105/2	105/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	190								
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	191								
27	27	53	53	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	192								
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	193								
27	27	52	52	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	194								
27	27	53	53	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	195								
28	28	54	54	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	196								
28	28	109/2	109/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	197								
28	28	219/4	219/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	198								
28	28	55	55	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	199								
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	200								
28	28	54	54	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	201								
28	28	55	55	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	202								
29	29	56	56	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	203								
29	29	113/2	113/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	204								
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	205								
29	29	57	57	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	206								
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	207								
29	29	56	56	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	208								
29	29	57	57	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	209								
30	30	58	58	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	210								
30	30	117/2	117/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	211								
30	30	235/4	235/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	212								
30	30	59	59	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	213								
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	214								
30	30	58	58	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	215								
31	31	60	60	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	216								
31	31	121/2	121/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	217								1
31	31	243/4	243/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	218								1
31	31	61	61	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	219								1
31	31	245/4	245/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	220								1
31	31	123/2	123/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	221								1
31	31	247/4	247/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	222								
32	32	62	62	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	223								
32	32	125/2	125/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	224								
32	32	251/4	251/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	225								
32	32	63	63	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	226								
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	227								
32	32	62	62	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	228								
33	33	64	64	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	229								
33	33	129/2	129/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	230								2
33	33	259/4	259/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	231								2
33	33	65	65	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	232								2
33	33	261/4	261/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	233								2
33	33	131/2	131/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	234								2
33	33	263/4	263/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	235								
34	34	66	66	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	236								
34	34	133/2	133/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	237								3
34	34	267/4	267/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	238								3
34	34	67	67	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	239								3
34	34	269/4	269/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	240								3
34	34	135/2	135/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	241								3
34	34	271/4	271/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	242								
34	34	66	66	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	243								
34	34	66	66	0.5	0	0	Chord	2/4	1	3	1/8	1/8	1	244								
35	35	68	68	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	245								
35	35	137/2	137/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	246								4
35	35	275/4	275/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	247								4
35	35	69	69	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	248								4
35	35	277/4	277/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	249								4
35	35	139/2	139/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	250								4
35	35	279/4	279/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	251								
35	35	68	68	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	252								
35	35	68	68	0.5	0	0	Chord	2/4	1	3	1/8	1/8	1	253								
36	36	70	70	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	254								
36	36	281/4	281/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	255								
36	36	141/2	141/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	256								
36	36	283/4	283/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	257								
36	36	71	71	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	258								
36	36	285/4	285/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	259								
36	36	143/2	143/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	260								
36	36	287/4	287/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	261								
36	36	70	70	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	262								
36	36	70	70	0.25	0	0	Chord	2/4	1	3	1/16	1/16	1	263								
37	37	72	72	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	264								
37	37	145/2	145/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	265								5
37	37	291/4	291/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	266								5
37	37	73	73	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	267								5
37	37	293/4	293/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	268								5
37	37	147/2	147/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	269								5
37	37	295/4	295/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	270								
37	37	72	72	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	271								
37	37	72	72	0.5	0	0	Chord	2/4	1	3	1/8	1/8	1	272								
38	38	74	74	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	273								
38	38	149/2	149/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	274								
38	38	299/4	299/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	275								
38	38	75	75	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	276								
38	38	151/2	151/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	277								
38	38	74	74	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	278								
38	38	151/2	151/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	279								
38	38	74	74	0.5	0	0	Chord	2/4	1	3	1/8	1/8	1	280								
38	38	149/2	149/2	0.25	1/8	1/8	Chord	2/4	1	3	1/16	1/16	1	281								
38	38	299/4	299/4	0.25	3/16	3/16	Chord	2/4	1	3	1/16	1/16	1	282								
38	38	75	75	0.5	1/4	1/4	Chord	2/4	1	3	1/8	1/8	1	283								
38	38	151/2	151/2	0.5	3/8	3/8	Chord	2/4	1	3	1/8	1/8	1	284								
39	39	76	76	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	285								
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	286								
39	39	76	76	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	287								
39	39	153/2	153/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	288								
39	39	307/4	307/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	289								
39	39	77	77	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	290								
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	291								
39	39	76	76	0.5	0	0	Chord	2/4	1	3	1/8	1/8	1	292								
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	1	3	1/8	1/8	1	293								
40	40	78	78	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	294								
40	40	79	79	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	295								
40	40	78	78	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	296								
