mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	61								
7	7	41/2	41/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	62								11
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	63								
8	8	21	21	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	64								12
8	8	85/4	85/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	65								
8	8	43/2	43/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	66								13
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	67								
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	68								
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	69								
9	9	49/2	49/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	70								
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	71								
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	72								
9	9	53/2	53/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	73								
9	9	107/4	107/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	74								
9	9	24	24	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	75								
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	2	3/8	1/4	3/2	76								
9	9	24	24	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	77								
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	3	3/8	1/4	3/2	78								
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	4	3/8	1/4	3/2	79								
10	10	27	27	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	80								
10	10	109/4	109/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	81								14
10	10	55/2	55/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	82								14
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	83								
10	10	28	28	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	84		ornamentTrill						
10	10	115/4	115/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	85								
10	10	29	29	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	86								
10	10	117/4	117/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	87								
10	10	59/2	59/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	88								
10	10	119/4	119/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	89								
10	10	27	27	0.25	0	0	Chord	3/4	1	2	1/16	1/16	1	90								
10	10	28	28	0.75	1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	91								
10	10	27	27	0.25	0	0	Chord	3/4	1	3	1/16	1/16	1	92								
11	11	30	30	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	93								
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	94								15
11	11	61/2	61/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	95								15
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	96								
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	97		ornamentTrill						
11	11	63/2	63/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	98								16
11	11	127/4	127/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	99								
11	11	32	32	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	100								17
11	11	129/4	129/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	101								
11	11	65/2	65/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	102								18
11	11	131/4	131/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	103								
12	12	33	33	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	104								19
12	12	133/4	133/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	105								
12	12	67/2	67/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	106								20
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	107								
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	108								
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	109								
13	13	36	36	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	110								21
13	13	147/4	147/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	111								21
13	13	295/8	295/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	112								
13	13	37	37	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	113								
13	13	151/4	151/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	114								
13	13	38	38	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	115								22
13	13	153/4	153/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	116								22
13	13	77/2	77/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	117								22
13	13	155/4	155/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	118								
13	13	36	36	0.75	0	0	Chord	3/4	1	2	3/16	1/8	3/2	119								
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	120								
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	3	1/8	1/8	1	121								
14	14	39	39	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	122								
14	14	157/4	157/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	123								23
14	14	79/2	79/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	124								23
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	125								
14	14	40	40	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	126								
14	14	163/4	163/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	127								
14	14	41	41	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	128								
14	14	165/4	165/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	129								
14	14	83/2	83/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	130								
14	14	167/4	167/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	131								
14	14	40	40	0.75	1/4	1/4	Chord	3/4	1	2	3/16	1/8	3/2	132								
14	14	40	40	0.75	1/4	1/4	Chord	3/4	1	3	3/16	1/8	3/2	133								
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	134								
15	15	43	43	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	135								
15	15	173/4	173/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	136								
15	15	87/2	87/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	137								
15	15	175/4	175/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	138								
15	15	44	44	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	139								24
15	15	177/4	177/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	140								
15	15	89/2	89/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	141								25
15	15	179/4	179/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	142								
15	15	169/4	169/4	0.25	1/16	1/16	Chord	3/4	1	2	1/16	1/16	1	143								
15	15	85/2	85/2	0.25	1/8	1/8	Chord	3/4	1	2	1/16	1/16	1	144								
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	145								
15	15	43	43	0.25	1/4	1/4	Chord	3/4	1	2	1/16	1/16	1	146								
16	16	45	45	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	147								
16	16	181/4	181/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	148								26
16	16	91/2	91/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	149								26
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	150								
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	151	I}							
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	152								
