mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:prallprall
35	34	51	51	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	107								
36	35	103/2	103/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	108								
36	35	209/4	209/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	109								
36	35	105/2	105/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	110								
37	36	53	53	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	111								
37	36	54	54	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	112								
38	37	109/2	109/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	113								
38	37	221/4	221/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	114								
38	37	111/2	111/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	115								
39	38	56	56	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	116								
39	38	227/4	227/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	117								
39	38	57	57	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	118								
40	39	115/2	115/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	119								
40	39	233/4	233/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	120							10	
40	39	117/2	117/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	121							10	
40	39	235/4	235/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	122								
41	40	59	59	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	123								
41	40	239/4	239/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	124								
41	40	60	60	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	125								
42	41	121/2	121/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	126								
42	41	245/4	245/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	127								
42	41	123/2	123/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	128								
43	42	62	62	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	129								
43	42	251/4	251/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	130								
43	42	63	63	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	131								
44	43	127/2	127/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	132								
44	43	257/4	257/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	133							11	
44	43	129/2	129/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	134							11	
44	43	259/4	259/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	135							11	
45	44	65	65	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	136								
45	44	263/4	263/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	137								
45	44	66	66	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	138								
46	45	133/2	133/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	139								
46	45	269/4	269/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	140								
46	45	135/2	135/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	141								
47	46	68	68	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	142								
47	46	275/4	275/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	143								
47	46	69	69	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	144								
48	47	139/2	139/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	145								
48	47	281/4	281/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	146							12	
48	47	141/2	141/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	147							12	
48	47	283/4	283/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	148							12	
49	48	71	71	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	149								
49	48	287/4	287/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	150								
49	48	72	72	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	151								
50	49	145/2	145/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	152								
50	49	293/4	293/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	153							13	
50	49	147/2	147/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	154							13	
50	49	295/4	295/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	155							13	
51	50	74	74	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	156								
51	50	299/4	299/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	157								
51	50	75	75	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	158								
52	51	151/2	151/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	159								
52	51	305/4	305/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	160							14	
52	51	153/2	153/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	161							14	
52	51	307/4	307/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	162							14	
53	52	77	77	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	163								
53	52	311/4	311/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	164								
53	52	78	78	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	165								
54	53	157/2	157/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	166								
54	53	317/4	317/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	167								
54	53	159/2	159/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	168								
55	54	80	80	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	169								
55	54	323/4	323/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	170								
55	54	81	81	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	171								
56	55	163/2	163/2	0.0	0	0	Spanner	3/8	1	1	0											0
56	55	163/2	163/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	172								0
57	56	83	83	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	173								0
58	57	169/2	169/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	174								0
58	57	341/4	341/4	0.0	3/16	3/16	Spanner	3/8	1	1	0											
58	57	341/4	341/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	175								
58	57	171/2	171/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	176								
59	58	86	86	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	177								
59	58	347/4	347/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	178								
59	58	87	87	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	179								
60	59	175/2	175/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	180	ornamentTrill							
60	59	353/4	353/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	181								
60	59	177/2	177/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	182								
61	60	89	89	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	183								
61	60	359/4	359/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	184							15	
61	60	90	90	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	185							15	
61	60	361/4	361/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	186							15	
62	61	181/2	181/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	187								
62	61	91	91	1.0	1/8	1/8	Chord	3/8	1	1	1/4	1/4	1	188								
63	62	92	92	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	189								
63	62	371/4	371/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	190							16	
63	62	93	93	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	191							16	
63	62	373/4	373/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	192							16	
64	63	187/2	187/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	193								
64	63	377/4	377/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	194							17	
64	63	189/2	189/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	195							17	
64	63	379/4	379/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	196							17	
65	64	95	95	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	197							18	
66	65	193/2	193/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	198								
66	65	389/4	389/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	199							19	
66	65	195/2	195/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	200							19	
66	65	391/4	391/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	201							19	
67	66	98	98	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	202								
67	66	395/4	395/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	203							20	
67	66	99	99	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	204							20	
67	66	397/4	397/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	205							20	
68	67	199/2	199/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	206								
68	67	401/4	401/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	207								
68	67	201/2	201/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	208								
69	68	101	101	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	209								
69	68	407/4	407/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	210								
69	68	102	102	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	211								
70	69	205/2	205/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	212								
70	69	413/4	413/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	213								
70	69	207/2	207/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	214								
71	70	104	104	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	215								
71	70	419/4	419/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	216								
71	70	105	105	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	217								
72	71	211/2	211/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	218								
72	71	425/4	425/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	219								
72	71	213/2	213/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	220								
73	72	107	107	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	221								
