mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
5	4	31/2	31/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	38							
5	4	16	16	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	39							
5	4	17	17	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	40							
5	4	14	14	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	41							
5	4	16	16	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	42							
5	4	14	14	1.0	0	0	Chord	2/2	1	4	1/4		1/4	1	43							
5	4	16	16	1.0	1/2	1/2	Chord	2/2	1	4	1/4		1/4	1	44							
6	5	18	18	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	45							
6	5	19	19	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	46							3
6	5	39/2	39/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	47							
6	5	20	20	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	48							
6	5	41/2	41/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	49							
6	5	21	21	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	50							
6	5	18	18	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	51							
6	5	20	20	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	52							
6	5	18	18	1.0	0	0	Chord	2/2	1	3	1/4		1/4	1	53							
6	5	18	18	1.0	0	0	Chord	2/2	1	4	1/4		1/4	1	54							
6	5	20	20	1.0	1/2	1/2	Chord	2/2	1	4	1/4		1/4	1	55							
7	6	22	22	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	56							4
7	6	45/2	45/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	57							4
7	6	23	23	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	58							4
7	6	47/2	47/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	59							
7	6	24	24	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	60							
7	6	25	25	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	61							
7	6	22	22	2.0	0	0	Chord	2/2	1	2	1/2		1/2	1	62							
7	6	24	24	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	63							
8	7	26	26	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	64							
8	7	27	27	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	65							
8	7	55/2	55/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	66							
8	7	28	28	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	67							
8	7	57/2	57/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	68							
8	7	29	29	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	69							
8	7	26	26	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	70							
8	7	27	27	1.0	1/4	1/4	Chord	2/2	1	2	1/4		1/4	1	71							
8	7	28	28	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	72							
9	8	30	30	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	73							
9	8	32	32	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	74							
9	8	33	33	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	75							
9	8	30	30	2.0	0	0	Chord	2/2	1	2	1/2		1/2	1	76							
9	8	32	32	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	77							
9	8	32	32	1.0	1/2	1/2	Chord	2/2	1	3	1/4		1/4	1	78							
9	8	30	30	2.0	0	0	Chord	2/2	1	4	1/2		1/2	1	79							
10	9	34	34	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	80							
10	9	35	35	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	81							
10	9	71/2	71/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	82							
10	9	36	36	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	83							
10	9	73/2	73/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	84							
10	9	37	37	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	85							
10	9	34	34	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	86							
10	9	34	34	1.0	0	0	Chord	2/2	1	3	1/4		1/4	1	87							
10	9	36	36	1.0	1/2	1/2	Chord	2/2	1	3	1/4		1/4	1	88							
10	9	34	34	1.0	0	0	Chord	2/2	1	4	1/4		1/4	1	89							
11	10	38	38	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	90							5
11	10	77/2	77/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	91							5
11	10	39	39	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	92							5
11	10	79/2	79/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	93							
11	10	40	40	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	94							
11	10	81/2	81/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	95							6
11	10	41	41	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	96							6
11	10	83/2	83/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	97							
11	10	38	38	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	98							
11	10	38	38	1.0	0	0	Chord	2/2	1	4	1/4		1/4	1	99							
12	11	42	42	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	100							
12	11	85/2	85/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	101							7
12	11	43	43	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	102							7
12	11	87/2	87/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	103							
12	11	44	44	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	104							
12	11	89/2	89/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	105							
12	11	45	45	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	106							
12	11	91/2	91/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	107							
13	12	46	46	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	108							
13	12	93/2	93/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	109							8
13	12	47	47	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	110							8
13	12	95/2	95/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	111							
13	12	48	48	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	112							
13	12	49	49	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	113							
13	12	48	48	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	114							
13	12	49	49	1.0	3/4	3/4	Chord	2/2	1	2	1/4		1/4	1	115							
13	12	48	48	1.0	1/2	1/2	Chord	2/2	1	3	1/4		1/4	1	116							
13	12	49	49	1.0	3/4	3/4	Chord	2/2	1	3	1/4		1/4	1	117							
14	13	50	50	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	118							
14	13	101/2	101/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	119							
14	13	51	51	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	120							
14	13	103/2	103/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	121							
14	13	52	52	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	122							
14	13	105/2	105/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	123							
14	13	53	53	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	124							
14	13	107/2	107/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	125							
15	14	54	54	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	126							9
15	14	109/2	109/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	127							9
15	14	55	55	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	128							9
15	14	111/2	111/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	129							
15	14	56	56	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	130							10
15	14	113/2	113/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	131							10
15	14	57	57	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	132							
15	14	115/2	115/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	133							
15	14	54	54	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	134							
15	14	54	54	1.0	0	0	Chord	2/2	1	4	1/4		1/4	1	135							
16	15	58	58	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	136							
16	15	117/2	117/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	137							
16	15	59	59	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	138							
16	15	119/2	119/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	139							
16	15	60	60	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	140							
16	15	121/2	121/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	141							
16	15	61	61	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	142							
16	15	123/2	123/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	143							
17	16	62	62	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	144							
17	16	64	64	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	145							
17	16	65	65	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	146							
17	16	62	62	2.0	0	0	Chord	2/2	1	2	1/2		1/2	1	147							
17	16	64	64	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	148							
17	16	65	65	1.0	3/4	3/4	Chord	2/2	1	2	1/4		1/4	1	149							
17	16	62	62	2.0	0	0	Chord	2/2	1	3	1/2		1/2	1	150							
17	16	64	64	1.0	1/2	1/2	Chord	2/2	1	3	1/4		1/4	1	151							
17	16	65	65	1.0	3/4	3/4	Chord	2/2	1	3	1/4		1/4	1	152							
18	17	66	66	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	153							
18	17	67	67	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	154							11
18	17	135/2	135/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	155							
18	17	68	68	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	156							12
18	17	137/2	137/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	157							
18	17	69	69	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	158							
18	17	66	66	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	159							
18	17	66	66	1.0	0	0	Chord	2/2	1	3	1/4		1/4	1	160							
19	18	70	70	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	161							13
19	18	141/2	141/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	162							13
19	18	71	71	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	163							13
19	18	143/2	143/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	164							
19	18	72	72	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	165							14
19	18	145/2	145/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	166							
19	18	73	73	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	167							15
19	18	147/2	147/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	168							
19	18	70	70	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	169							
19	18	70	70	1.0	0	0	Chord	2/2	1	3	1/4		1/4	1	170							
20	19	74	74	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	171							16
20	19	149/2	149/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	172							
20	19	75	75	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	173							17
20	19	151/2	151/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	174							
20	19	76	76	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	175							18
20	19	153/2	153/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	176							
20	19	77	77	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	177							
21	20	78	78	0.0	0	0	Chord	2/2	1	1	0	appoggiatura	1/8	1	178							
21	20	78	78	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	179							
21	20	80	80	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	180							
21	20	81	81	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	181							
21	20	78	78	2.0	0	0	Chord	2/2	1	2	1/2		1/2	1	182							
21	20	80	80	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	183							
21	20	80	80	1.0	1/2	1/2	Chord	2/2	1	3	1/4		1/4	1	184							
22	21	82	82	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	185							
22	21	83	83	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	186							
22	21	167/2	167/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	187							
22	21	84	84	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	188							
22	21	169/2	169/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	189							
22	21	85	85	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	190							
22	21	82	82	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	191							
22	21	84	84	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	192							
22	21	82	82	1.0	0	0	Chord	2/2	1	3	1/4		1/4	1	193							
22	21	84	84	1.0	1/2	1/2	Chord	2/2	1	3	1/4		1/4	1	194							
22	21	82	82	1.0	0	0	Chord	2/2	1	4	1/4		1/4	1	195							
23	22	86	86	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	196							19
23	22	173/2	173/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	197							19
23	22	87	87	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	198							19
23	22	175/2	175/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	199							
23	22	88	88	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	200							
23	22	89	89	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	201							
23	22	86	86	2.0	0	0	Chord	2/2	1	2	1/2		1/2	1	202							
23	22	88	88	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	203							
23	22	88	88	1.0	1/2	1/2	Chord	2/2	1	3	1/4		1/4	1	204							
23	22	88	88	1.0	1/2	1/2	Chord	2/2	1	4	1/4		1/4	1	205							
24	23	90	90	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	206							
24	23	91	91	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	207							20
24	23	183/2	183/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	208							
24	23	92	92	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	209							21
24	23	185/2	185/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	210							21
24	23	93	93	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	211							21
24	23	187/2	187/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	212							
24	23	90	90	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	213							
24	23	92	92	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	214							
24	23	90	90	1.0	0	0	Chord	2/2	1	3	1/4		1/4	1	215							
25	24	94	94	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	216							22
25	24	189/2	189/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	217							22
25	24	95	95	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	218							22
25	24	191/2	191/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	219							
25	24	96	96	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	220							
25	24	97	97	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	221							
25	24	94	94	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	222							
25	24	96	96	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	223							
25	24	94	94	1.0	0	0	Chord	2/2	1	3	1/4		1/4	1	224							
25	24	96	96	1.0	1/2	1/2	Chord	2/2	1	3	1/4		1/4	1	225							
25	24	96	96	1.0	1/2	1/2	Chord	2/2	1	4	1/4		1/4	1	226							
26	25	98	98	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	227							
26	25	197/2	197/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	228							23
26	25	99	99	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	229							23
26	25	199/2	199/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	230							23
26	25	100	100	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	231							23
26	25	201/2	201/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	232							23
26	25	101	101	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	233							23
26	25	203/2	203/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	234							
26	25	98	98	1.0	0	0	Chord	2/2	1	2	1/4		1/4	1	235							
26	25	98	98	1.0	0	0	Chord	2/2	1	3	1/4		1/4	1	236							
26	25	98	98	1.0	0	0	Chord	2/2	1	4	1/4		1/4	1	237							
27	26	102	102	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	238							
27	26	205/2	205/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	239							24
27	26	103	103	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	240							24
27	26	207/2	207/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	241							24
27	26	104	104	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	242							24
27	26	209/2	209/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	243							24
27	26	105	105	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	244							24
27	26	211/2	211/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	245							
27	26	102	102	0.5	0	0	Chord	2/2	1	2	1/8		1/8	1	246							
28	27	106	106	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	247							25
28	27	213/2	213/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	248							
28	27	107	107	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	249							
28	27	108	108	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	250							
28	27	109	109	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	251							
28	27	219/2	219/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	252							
28	27	107	107	1.0	1/4	1/4	Chord	2/2	1	2	1/4		1/4	1	253							
28	27	108	108	2.0	1/2	1/2	Chord	2/2	1	2	1/2		1/2	1	254							
28	27	107	107	1.0	1/4	1/4	Chord	2/2	1	3	1/4		1/4	1	255							
29	28	110	110	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	256							
29	28	110	110	2.0	0	0	Chord	2/2	1	2	1/2		1/2	1	257							
29	28	110	110	2.0	0	0	Chord	2/2	1	3	1/2		1/2	1	258							
29	28	110	110	2.0	0	0	Chord	2/2	1	4	1/2		1/2	1	259							
