mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
20	20	0	0	4/4	1	1	V65/V		G	I		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
21	21	0	0	4/4	1	1	V2}		G	I		V2	V		2					}	Mm7	0	0	-1, 1, 5, 2		1	-1
22	22	9/16	9/16	4/4	1	1	V{		G	I		V	V							{	M	0	0	1, 5, 2		1	1
23	23	1/2	1/2	4/4	1	1	viio		G	I		viio	vii	o							o	0	0	5, 2, -1		5	5
24	24	0	0	4/4	1	1	V7		G	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
25	25	1/2	1/2	4/4	1	1	I		G	I		I	I								M	0	0	0, 4, 1		0	0
26	26	0	0	4/4	1	1	V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
26	26	3/4	3/4	4/4	1	1	V(b64)		G	I		V(b64)	V			b64					M	0	0	1, 0, -3		1	1
27	27	0	0	4/4	1	1	V7/V		G	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
28	28	0	0	4/4	1	1	V}		G	I		V	V							}	M	0	0	1, 5, 2		1	1
29	29	1/8	1/8	4/4	1	1	V7{		G	I		V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1	1
30	30	0	0	4/4	1	1	ii6		G	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
30	30	1/2	1/2	4/4	1	1	I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
31	31	0	0	4/4	1	1	ii7		G	I		ii7	ii		7						mm7	0	0	2, -1, 3, 0		2	2
31	31	1/4	1/4	4/4	1	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
31	31	3/4	3/4	4/4	1	1	V43/V		G	I		V43/V	V		43		V				Mm7	0	0	3, 0, 2, 6		2	3
32	32	0	0	4/4	1	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
32	32	1/4	1/4	4/4	1	1	V43/V		G	I		V43/V	V		43		V				Mm7	0	0	3, 0, 2, 6		2	3
32	32	1/2	1/2	4/4	1	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
32	32	3/4	3/4	4/4	1	1	V43/V		G	I		V43/V	V		43		V				Mm7	0	0	3, 0, 2, 6		2	3
33	33	0	0	4/4	1	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
33	33	1/2	1/2	4/4	1	1	V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
34	34	1/4	1/4	4/4	1	1	V7		G	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
35	35	1/2	1/2	4/4	1	1	V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
36	36	0	0	4/4	1	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
36	36	3/4	3/4	4/4	1	1	V43/V		G	I		V43/V	V		43		V				Mm7	0	0	3, 0, 2, 6		2	3
37	37	0	0	4/4	1	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
39	39	0	0	4/4	1	1	V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
40	40	0	0	4/4	1	1	V(4)		G	I		V(4)	V			4					M	0	0	1, 0, 2		1	1
41	41	0	0	4/4	1	1	V7		G	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
42	42	0	0	4/4	1	1	I}		G	I		I	I							}	M	0	0	0, 4, 1		0	0
