mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
10	9	34	34	1.0	0	0	2/2	1	1	1/4	1/4	1		5	59	B3	3	-200.0	65
10	9	35	35	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	66
10	9	71/2	71/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	67
10	9	36	36	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		-3	51	Eb3	3		72
10	9	36	36	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		5	59	B3	3	-200.0	68
10	9	37	37	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	69
10	9	75/2	75/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	-200.0	70
11	10	38	38	1.0	0	0	2/2	1	2	1/4	1/4	1		2	50	D3	3		80
11	10	38	38	1.0	0	0	2/2	1	1	1/4	1/4	1		0	60	C4	4	-200.0	74
11	10	39	39	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	75
11	10	79/2	79/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	-200.0	76
11	10	40	40	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		0	48	C3	3		81
11	10	40	40	1.0	1/2	1/2	2/2	1	3	1/4	1/4	1		1	55	G3	3		82
11	10	40	40	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		0	60	C4	4	-200.0	77
11	10	41	41	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		-1	65	F4	4	-200.0	78
11	10	83/2	83/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	79
12	11	42	42	1.0	0	0	2/2	1	1	1/4	1/4	1		4	64	E4	4	-200.0	83
12	11	43	43	1.0	1/4	1/4	2/2	1	2	1/4	1/4	1		-2	46	Bb2	2		89
12	11	43	43	1.0	1/4	1/4	2/2	1	3	1/4	1/4	1		2	50	D3	3		92
12	11	43	43	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1		3	57	A3	3	-200.0	84
12	11	44	44	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		0	48	C3	3		90
12	11	44	44	1.0	1/2	1/2	2/2	1	3	1/4	1/4	1		1	55	G3	3		93
12	11	44	44	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	85
12	11	89/2	89/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	-200.0	86
12	11	45	45	0.5	3/4	3/4	2/2	1	2	1/8	1/8	1		2	50	D3	3		91
12	11	45	45	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	87
12	11	91/2	91/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		6	54	F#3	3		88
13	12	46	46	2.0	0	0	2/2	1	2	1/2	1/2	1		1	43	G2	2		95
13	12	46	46	2.0	0	0	2/2	1	3	1/2	1/2	1		2	50	D3	3		96
13	12	46	46	2.0	0	0	2/2	1	1	1/2	1/2	1		3	57	A3	3	-200.0	94
14	13	48	48	1.0	0	1/2	2/2	1	2	1/4	1/4	1		1	43	G2	2		99
14	13	48	48	1.0	0	1/2	2/2	1	3	1/4	1/4	1		2	50	D3	3		100
14	13	48	48	1.0	0	1/2	2/2	1	1	1/4	1/4	1		0	60	C4	4	-200.0	97
14	13	49	49	1.0	1/4	3/4	2/2	1	1	1/4	1/4	1		3	57	A3	3	-200.0	98
15	14	50	50	1.0	0	0	2/2	1	2	1/4	1/4	1		0	36	C2	2		107
15	14	50	50	1.0	0	0	2/2	1	3	1/4	1/4	1		1	43	G2	2		109
15	14	50	50	1.0	0	0	2/2	1	1	1/4	1/4	1		4	52	E3	3		101
15	14	51	51	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-1	53	F3	3		102
15	14	103/2	103/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		103
15	14	52	52	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		-2	46	Bb2	2		108
15	14	52	52	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		4	52	E3	3		104
15	14	53	53	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	105
15	14	107/2	107/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		4	52	E3	3		106
16	15	54	54	1.0	0	0	2/2	1	2	1/4	1/4	1		-4	44	Ab2	2		116
16	15	54	54	1.0	0	0	2/2	1	1	1/4	1/4	1		-1	53	F3	3		110
16	15	55	55	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		1	55	G3	3		111
16	15	111/2	111/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		4	52	E3	3		112
16	15	56	56	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		-1	53	F3	3		113
16	15	57	57	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	114
16	15	115/2	115/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		115
17	16	58	58	1.0	0	0	2/2	1	2	1/4	1/4	1		4	52	E3	3		123
17	16	58	58	1.0	0	0	2/2	1	1	1/4	1/4	1		3	57	A3	3	-200.0	117
17	16	59	59	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	-200.0	118
17	16	119/2	119/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		119
17	16	60	60	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		0	48	C3	3		124
17	16	60	60	1.0	1/2	1/2	2/2	1	3	1/4	1/4	1		4	52	E3	3		125
17	16	60	60	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		3	57	A3	3	-200.0	120
17	16	61	61	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	121
17	16	123/2	123/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	122
18	17	62	62	1.0	0	0	2/2	1	2	1/4	1/4	1		-1	53	F3	3		134
18	17	62	62	0.5	0	0	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	126
18	17	125/2	125/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	-200.0	127
18	17	63	63	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	128
18	17	127/2	127/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		129
18	17	64	64	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		-4	56	Ab3	3		130
18	17	129/2	129/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		1	55	G3	3		131
18	17	65	65	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		-1	53	F3	3		132
18	17	131/2	131/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		133
19	18	66	66	0.5	0	0	2/2	1	1	1/8	1/8	1		2	50	D3	3		135
19	18	133/2	133/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-4	44	Ab2	2		136
19	18	67	67	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		137
19	18	135/2	135/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		0	48	C3	3		138
19	18	68	68	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		2	50	D3	3		139
19	18	137/2	137/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-4	44	Ab2	2		140
19	18	69	69	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	141
19	18	139/2	139/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		142
20	19	70	70	0.5	0	0	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		143
20	19	141/2	141/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		1	43	G2	2		144
20	19	71	71	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-1	53	F3	3		145
20	19	143/2	143/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		146
20	19	72	72	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		147
20	19	145/2	145/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		1	43	G2	2		148
20	19	73	73	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	149
20	19	147/2	147/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		150
21	20	74	74	0.5	0	0	2/2	1	1	1/8	1/8	1		-1	53	F3	3		151
21	20	149/2	149/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-2	46	Bb2	2		152
21	20	75	75	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		1	55	G3	3		153
21	20	151/2	151/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		154
21	20	76	76	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		-1	53	F3	3		155
21	20	153/2	153/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-2	46	Bb2	2		156
21	20	77	77	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	157
21	20	155/2	155/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		158
22	21	78	78	0.5	0	0	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	-200.0	159
22	21	157/2	157/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	160
22	21	79	79	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-1	53	F3	3		161
22	21	159/2	159/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		162
22	21	80	80	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		0	48	C3	3		165
22	21	80	80	1.0	1/2	1/2	2/2	1	3	1/4	1/4	1		-3	51	Eb3	3		167
22	21	80	80	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		-2	58	Bb3	3	-200.0	163
22	21	81	81	1.0	3/4	3/4	2/2	1	2	1/4	1/4	1		-2	46	Bb2	2		166
22	21	81	81	1.0	3/4	3/4	2/2	1	3	1/4	1/4	1		-3	51	Eb3	3		168
22	21	81	81	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		3	57	A3	3	-200.0	164
23	22	82	82	1.0	0	0	2/2	1	2	1/4	1/4	1		-4	44	Ab2	2		175
23	22	82	82	0.5	0	0	2/2	1	1	1/8	1/8	1		-1	53	F3	3		169
23	22	165/2	165/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		170
23	22	83	83	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-1	53	F3	3		171
23	22	167/2	167/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		172
23	22	84	84	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		-4	44	Ab2	2		176
23	22	84	84	1.0	1/2	1/2	2/2	1	3	1/4	1/4	1		-3	51	Eb3	3		178
23	22	84	84	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		2	62	D4	4	-200.0	173
23	22	85	85	1.0	3/4	3/4	2/2	1	2	1/4	1/4	1		1	43	G2	2		177
23	22	85	85	1.0	3/4	3/4	2/2	1	3	1/4	1/4	1		-3	51	Eb3	3		179
23	22	85	85	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		0	60	C4	4	-200.0	174
24	23	86	86	1.0	0	0	2/2	1	2	1/4	1/4	1		-1	41	F2	2		186
24	23	86	86	1.0	0	0	2/2	1	3	1/4	1/4	1		-4	44	Ab2	2		189
24	23	86	86	0.5	0	0	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		180
24	23	173/2	173/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		181
24	23	87	87	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		182
24	23	175/2	175/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		0	48	C3	3		183
24	23	88	88	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		-1	41	F2	2		187
24	23	88	88	1.0	1/2	1/2	2/2	1	3	1/4	1/4	1		-4	44	Ab2	2		190
24	23	88	88	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		2	50	D3	3		184
24	23	89	89	1.0	3/4	3/4	2/2	1	2	1/4	1/4	1		2	50	D3	3		188
24	23	89	89	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		-2	58	Bb3	3	-200.0	185
25	24	90	90	0.5	0	0	2/2	1	2	1/8	1/8	1		-3	51	Eb3	3		199
25	24	90	90	0.5	0	0	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	-200.0	191
25	24	181/2	181/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		192
25	24	91	91	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		1	55	G3	3		193
25	24	183/2	183/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		194
25	24	92	92	0.5	1/2	1/2	2/2	1	2	1/8	1/8	1		-2	46	Bb2	2		200
25	24	92	92	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		1	55	G3	3		195
25	24	185/2	185/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		196
25	24	93	93	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		197
25	24	187/2	187/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		198
26	25	94	94	2.0	0	0	2/2	1	2	1/2	1/2	1		-3	39	Eb2	2		204
26	25	94	94	2.0	0	0	2/2	1	3	1/2	1/2	1		-2	46	Bb2	2		206
26	25	94	94	2.0	0	0	2/2	1	1	1/2	1/2	1		-3	51	Eb3	3		201
26	25	96	96	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		-3	39	Eb2	2		205
26	25	96	96	1.0	1/2	1/2	2/2	1	3	1/4	1/4	1		-2	46	Bb2	2		207
26	25	96	96	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		1	55	G3	3		202
26	25	97	97	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		-3	51	Eb3	3		203
27	26	98	98	1.0	0	0	2/2	1	2	1/4	1/4	1		2	50	D3	3		214
27	26	98	98	1.0	0	0	2/2	1	1	1/4	1/4	1		0	60	C4	4	-200.0	208
27	26	99	99	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	209
27	26	199/2	199/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	-200.0	210
27	26	100	100	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		0	60	C4	4	-200.0	211
27	26	101	101	1.0	3/4	3/4	2/2	1	2	1/4	1/4	1		4	52	E3	3		215
27	26	101	101	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	212
27	26	203/2	203/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	213
28	27	102	102	1.0	0	0	2/2	1	2	1/4	1/4	1		-1	53	F3	3		224
28	27	102	102	0.5	0	0	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	216
28	27	205/2	205/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	-200.0	217
28	27	103	103	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	218
28	27	207/2	207/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		219
28	27	104	104	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		-1	53	F3	3		225
28	27	104	104	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		5	59	B3	3	-200.0	220
28	27	209/2	209/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	221
28	27	105	105	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		7	61	C#4	4	-200.0	222
28	27	211/2	211/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	-200.0	223
29	28	106	106	1.0	0	0	2/2	1	2	1/4	1/4	1		6	54	F#3	3		234
29	28	106	106	0.5	0	0	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	226
29	28	213/2	213/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		7	61	C#4	4	-200.0	227
29	28	107	107	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		4	64	E4	4	-200.0	228
29	28	215/2	215/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		7	61	C#4	4	-200.0	229
29	28	108	108	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	230
29	28	217/2	217/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		231
29	28	109	109	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	50	D3	3		232
29	28	219/2	219/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		0	48	C3	3		233
30	29	110	110	0.5	0	0	2/2	1	1	1/8	1/8	1		1	43	G2	2		235
30	29	221/2	221/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		236
30	29	111	111	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	237
30	29	223/2	223/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		7	61	C#4	4	-200.0	238
30	29	112	112	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		-1	65	F4	4	-200.0	239
30	29	225/2	225/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		1	55	G3	3		240
30	29	113	113	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		-4	56	Ab3	3		241
30	29	227/2	227/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		242
31	30	114	114	0.5	0	0	2/2	1	1	1/8	1/8	1		4	64	E4	4	-200.0	243
31	30	229/2	229/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		244
31	30	115	115	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		1	55	G3	3		245
31	30	231/2	231/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		246
31	30	116	116	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	247
31	30	233/2	233/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		248
31	30	117	117	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		-1	53	F3	3		249
31	30	235/2	235/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		250
32	31	118	118	2.0	0	0	2/2	1	2	1/2	1/2	1		1	43	G2	2		259
32	31	118	118	2.0	0	0	2/2	1	3	1/2	1/2	1		2	50	D3	3		260
32	31	118	118	0.5	0	0	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	251
32	31	237/2	237/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		7	61	C#4	4	-200.0	252
32	31	119	119	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		5	59	B3	3	-200.0	253
32	31	239/2	239/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	254
32	31	120	120	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	255
32	31	241/2	241/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		256
32	31	121	121	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		-1	53	F3	3		257
32	31	243/2	243/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		258
33	32	122	122	0.5	0	0	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	261
33	32	245/2	245/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		262
33	32	123	123	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		263
