mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
20	19	113/4	113/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		1	55	G3	3		58
20	19	57/2	57/2	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-1	53	F3	3		59
20	19	115/4	115/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		-3	51	Eb3	3		60
21	20	29	29	0.75	0	0	3/8	1	1	3/16	1/8	3/2		2	50	D3	3		61
21	20	119/4	119/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		0	48	C3	3		62
21	20	30	30	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-2	46	Bb2	2		63
21	20	121/4	121/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		-4	44	Ab2	2		64
22	21	61/2	61/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		1	43	G2	2		65
22	21	125/4	125/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-4	56	Ab3	3		66
22	21	63/2	63/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		-1	53	F3	3		67
23	22	32	32	0.75	0	0	3/8	1	1	3/16	1/8	3/2		1	55	G3	3		68
23	22	131/4	131/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		0	60	C4	4	-200.0	69
23	22	33	33	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		2	50	D3	3		70
24	23	67/2	67/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-3	51	Eb3	3		71
24	23	137/4	137/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		1	43	G2	2		72
24	23	69/2	69/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		-2	46	Bb2	2		73
25	24	35	35	1.0	0	0	3/8	1	1	1/4	1/4	1		-3	39	Eb2	2		74
26	24	36	36	0.5	0	1/4	3/8	1	1	1/8	1/8	1		-3	51	Eb3	3		75
27	25	73/2	73/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		1	55	G3	3		76
27	25	149/4	149/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-4	56	Ab3	3		77
27	25	75/2	75/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		-1	53	F3	3		78
28	26	38	38	0.75	0	0	3/8	1	1	3/16	1/8	3/2		1	55	G3	3		79
28	26	155/4	155/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		0	60	C4	4	-200.0	80
28	26	39	39	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		5	59	B3	3	-200.0	81
29	27	79/2	79/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		0	60	C4	4	-200.0	82
29	27	161/4	161/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		2	50	D3	3		83
29	27	81/2	81/2	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-3	51	Eb3	3		84
29	27	163/4	163/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		-1	53	F3	3		85
30	28	41	41	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-2	46	Bb2	2		86
30	28	167/4	167/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		0	48	C3	3		87
30	28	42	42	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		2	50	D3	3		88
31	29	85/2	85/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-3	51	Eb3	3		89
31	29	173/4	173/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		2	62	D4	4	-200.0	90
31	29	87/2	87/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		5	59	B3	3	-200.0	91
32	30	44	44	0.75	0	0	3/8	1	1	3/16	1/8	3/2		0	60	C4	4	-200.0	92
32	30	179/4	179/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		6	54	F#3	3		93
32	30	45	45	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		1	55	G3	3		94
33	31	91/2	91/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		6	54	F#3	3		95
33	31	185/4	185/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		5	59	B3	3	-200.0	96
33	31	93/2	93/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		2	50	D3	3		97
34	32	47	47	0.75	0	0	3/8	1	1	3/16	1/8	3/2		4	64	E4	4	-200.0	98
34	32	191/4	191/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		2	62	D4	4	-200.0	99
34	32	48	48	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		0	60	C4	4	-200.0	100
34	32	193/4	193/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		5	59	B3	3	-200.0	101
35	33	97/2	97/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		0	60	C4	4	-200.0	102
35	33	197/4	197/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		4	64	E4	4	-200.0	103
35	33	99/2	99/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		3	57	A3	3	-200.0	104
36	34	50	50	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-1	53	F3	3		105
36	34	203/4	203/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		3	57	A3	3	-200.0	106
36	34	51	51	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		2	50	D3	3		107
37	35	103/2	103/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-3	51	Eb3	3		108
37	35	209/4	209/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		3	57	A3	3	-200.0	109
37	35	105/2	105/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		2	62	D4	4	-200.0	110
38	36	53	53	1.0	0	0	3/8	1	1	1/4	1/4	1		-1	65	F4	4	-200.0	111
38	36	54	54	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		4	64	E4	4	-200.0	112
39	37	109/2	109/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		2	62	D4	4	-200.0	113
39	37	221/4	221/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		6	54	F#3	3		114
39	37	111/2	111/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		1	55	G3	3		115
40	38	56	56	0.75	0	0	3/8	1	1	3/16	1/8	3/2		2	50	D3	3		116
40	38	227/4	227/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		5	59	B3	3	-200.0	117
40	38	57	57	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		6	54	F#3	3		118
41	39	115/2	115/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		1	55	G3	3		119
41	39	233/4	233/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-2	46	Bb2	2		120
41	39	117/2	117/2	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		0	48	C3	3		121
41	39	235/4	235/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		2	50	D3	3		122
42	40	59	59	0.75	0	0	3/8	1	1	3/16	1/8	3/2		1	43	G2	2		123
42	40	239/4	239/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		0	60	C4	4	-200.0	124
42	40	60	60	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		3	57	A3	3	-200.0	125
43	41	121/2	121/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		4	52	E3	3		126
43	41	245/4	245/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		3	57	A3	3	-200.0	127
43	41	123/2	123/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		0	60	C4	4	-200.0	128
44	42	62	62	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-3	63	Eb4	4	-200.0	129
44	42	251/4	251/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		0	60	C4	4	-200.0	130
44	42	63	63	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		2	62	D4	4	-200.0	131
45	43	127/2	127/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-2	58	Bb3	3	-200.0	132
45	43	257/4	257/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		1	55	G3	3		133
45	43	129/2	129/2	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-1	53	F3	3		134
45	43	259/4	259/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		4	52	E3	3		135
46	44	65	65	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-1	53	F3	3		136
46	44	263/4	263/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-2	58	Bb3	3	-200.0	137
46	44	66	66	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		-3	51	Eb3	3		138
47	45	133/2	133/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		2	50	D3	3		139
47	45	269/4	269/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-1	53	F3	3		140
47	45	135/2	135/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		-2	58	Bb3	3	-200.0	141
48	46	68	68	0.75	0	0	3/8	1	1	3/16	1/8	3/2		2	62	D4	4	-200.0	142
48	46	275/4	275/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-2	58	Bb3	3	-200.0	143
48	46	69	69	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		0	60	C4	4	-200.0	144
49	47	139/2	139/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		3	57	A3	3	-200.0	145
49	47	281/4	281/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-1	53	F3	3		146
49	47	141/2	141/2	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-3	51	Eb3	3		147
49	47	283/4	283/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		2	50	D3	3		148
50	48	71	71	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-3	51	Eb3	3		149
50	48	287/4	287/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		3	57	A3	3	-200.0	150
50	48	72	72	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		0	60	C4	4	-200.0	151
51	49	145/2	145/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		5	59	B3	3	-200.0	152
51	49	293/4	293/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-1	53	F3	3		153
51	49	147/2	147/2	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-3	51	Eb3	3		154
51	49	295/4	295/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		2	50	D3	3		155
52	50	74	74	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-3	51	Eb3	3		156
52	50	299/4	299/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		5	59	B3	3	-200.0	157
52	50	75	75	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		2	62	D4	4	-200.0	158
53	51	151/2	151/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		7	61	C#4	4	-200.0	159
53	51	305/4	305/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		1	55	G3	3		160
53	51	153/2	153/2	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-1	53	F3	3		161
53	51	307/4	307/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		-3	51	Eb3	3		162
54	52	77	77	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-1	53	F3	3		163
54	52	311/4	311/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		7	61	C#4	4	-200.0	164
54	52	78	78	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		4	64	E4	4	-200.0	165
55	53	157/2	157/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		2	62	D4	4	-200.0	166
55	53	317/4	317/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		3	57	A3	3	-200.0	167
55	53	159/2	159/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		-1	65	F4	4	-200.0	168
56	54	80	80	0.75	0	0	3/8	1	1	3/16	1/8	3/2		4	64	E4	4	-200.0	169
56	54	323/4	323/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		3	57	A3	3	-200.0	170
56	54	81	81	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		1	67	G4	4	-200.0	171
57	55	163/2	163/2	1.5	0	0	3/8	1	1	3/8	1/4	3/2		-1	65	F4	4	-200.0	172
58	56	83	83	1.5	0	0	3/8	1	1	3/8	1/4	3/2		6	66	F#4	4	-200.0	173
59	57	169/2	169/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		1	67	G4	4	-200.0	174
59	57	341/4	341/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		4	64	E4	4	-200.0	175
59	57	171/2	171/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		-1	65	F4	4	-200.0	176
60	58	86	86	0.75	0	0	3/8	1	1	3/16	1/8	3/2		4	64	E4	4	-200.0	177
60	58	347/4	347/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		7	61	C#4	4	-200.0	178
60	58	87	87	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		2	62	D4	4	-200.0	179
61	59	175/2	175/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		7	61	C#4	4	-200.0	180
61	59	353/4	353/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		2	62	D4	4	-200.0	181
61	59	177/2	177/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		4	64	E4	4	-200.0	182
62	60	89	89	0.75	0	0	3/8	1	1	3/16	1/8	3/2		3	57	A3	3	-200.0	183
62	60	359/4	359/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-1	53	F3	3		184
62	60	90	90	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-3	51	Eb3	3		185
62	60	361/4	361/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		2	50	D3	3		186
63	61	181/2	181/2	0.5	0	0	3/8	1	1	1/8	1/8	1		-3	51	Eb3	3		187
63	61	91	91	1.0	1/8	1/8	3/8	1	1	1/4	1/4	1	1	2	62	D4	4	-200.0	188
64	62	92	92	0.75	0	0	3/8	1	1	3/16	1/8	3/2	-1	2	62	D4	4	-200.0	189
64	62	371/4	371/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		0	60	C4	4	-200.0	190
64	62	93	93	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-2	58	Bb3	3	-200.0	191
64	62	373/4	373/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		3	57	A3	3	-200.0	192
65	63	187/2	187/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-2	58	Bb3	3	-200.0	193
65	63	377/4	377/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		1	55	G3	3		194
65	63	189/2	189/2	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-1	53	F3	3		195
65	63	379/4	379/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		4	52	E3	3		196
66	64	95	95	1.5	0	0	3/8	1	1	3/8	1/4	3/2	1	-1	53	F3	3		197
67	65	193/2	193/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2	-1	-1	53	F3	3		198
67	65	389/4	389/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-3	51	Eb3	3		199
67	65	195/2	195/2	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		2	50	D3	3		200
67	65	391/4	391/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		0	48	C3	3		201
68	66	98	98	0.75	0	0	3/8	1	1	3/16	1/8	3/2		5	47	B2	2		202
68	66	395/4	395/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-4	44	Ab2	2		203
68	66	99	99	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		1	43	G2	2		204
68	66	397/4	397/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		-1	41	F2	2		205
69	67	199/2	199/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-3	39	Eb2	2		206
69	67	401/4	401/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		1	43	G2	2		207
69	67	201/2	201/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		5	47	B2	2		208
70	68	101	101	0.75	0	0	3/8	1	1	3/16	1/8	3/2		2	50	D3	3		209
70	68	407/4	407/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-1	53	F3	3		210
70	68	102	102	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		-4	56	Ab3	3		211
71	69	205/2	205/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		1	55	G3	3		212
71	69	413/4	413/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		2	50	D3	3		213
71	69	207/2	207/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		-3	51	Eb3	3		214
72	70	104	104	0.75	0	0	3/8	1	1	3/16	1/8	3/2		1	43	G2	2		215
72	70	419/4	419/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		0	48	C3	3		216
72	70	105	105	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		5	47	B2	2		217
73	71	211/2	211/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		0	48	C3	3		218
73	71	425/4	425/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-3	39	Eb2	2		219
73	71	213/2	213/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		1	43	G2	2		220
74	72	107	107	1.0	0	0	3/8	1	1	1/4	1/4	1		0	36	C2	2		221
